@relation crimer

@attribute crimetype string
@attribute class {personal,property,inchoate,statutory,financial}

@data
'First transgenderism, now “trans-age?” Bizarre new claim is an LGBT license for scary old guys to rape little children',financial
'Today’s Headlines for Friday, March 2',financial
'Fraud charges filed against closed training center workers',financial
'Son charged in murder-for-hire plot of his parents',financial
'Suburban dentist accused of sexually assaulting woman in his office',financial
'Crime Watch Daily investigates the murder of Rhoni Reuter',financial
'NFL notebook: Carruth apologizes for murder, wants custody of son',financial
'No ifs about it after Fox\'s OJ Simpson show: \'I remember I grabbed the knife\' - Chicago Tribune',financial
'Where are the Emergency Call Boxes?',financial
'Chicago GOP planning to sue Chicago Public Schools over organizing gun control walkout',financial
'Chicago man charged in Buffalo Grove crash that injured 10',financial
'Kaitlin wrote a new post, Chicago DUI Lawyers Offer Criminal Defense Services Before Court in Chicago, Illinois',financial
'Bill Cosby to face Janice Dickinson, 4 other accusers at sexual assault retrial - Fox News',financial
'London\'s murder rate now tops New York City\'s - USA TODAY',financial
'The Bleeding of Chicago',financial
'Jury in central Illinois convicts in identity theft case',financial
'Hannibal Buress’ Mic Was Cut At Loyola-Chicago After Making A Joke About The Catholic Church',financial
'Hannibal Buress Forced Offstage by Loyola University Chicago After Catholic Priest Molestation Joke',financial
'Two women file sexual-assault reports against casino mogul Steve Wynn: police',financial
'White Sox rehire man who wrongly spent decades in prison',financial
'Wrongfully Convicted Man Is Rehired By The White Sox After 23 Years In Prison',financial
'Final Four puts transfers, and need for reform, in display',financial
'Final Four puts transfers, and need for reform, in display',financial
'Case against Cosby: The stories of the accusers',financial
'El Mini Lic and the brother in law of el chapo in court, another hit for the Sinaloa cartel',financial
'‘Serial stowaway’ who hit Phoenix Sky Harbor arrested again days after leaving jail',financial
'5 of these 8 accusers could testify at Bill Cosby\'s retrial',financial
'Final Four puts transfers, and need for reform, in display',financial
'Final Four puts transfers, and need for reform, in display',financial
'Former Chicago gossip columnist Liz Crokin is now a star among far-right conspiracy theorists',financial
'Scotland Yard chief Cressida Dick vows to go after the gangs with \'Al Capone\' tactics',financial
'On This Day: Arizona becomes 48th state',financial
'#WhatAboutMe?: Male Sexual Assault Victims Feel Left Out by #MeToo Movement',financial
'St. Charles police reports',financial
'Robberies increase in downtown Chicago, homicides decrease',financial
'Man get prison in Michigan crash that killed fire chief',financial
'Nurse accused of using dark web to seek hit on romantic rival',financial
'White Sox Give Job Back to Man Wrongly Behind Bars for 23 Years',financial
'Man accused of plotting attack hammer attack of parents',financial
'Son plots attack on parents who disapproved of career path: cops',financial
'Trump could pardon Michael Cohen — but it might not save him',financial
'Lawyers for Chicago, man shot by officer settle lawsuit',financial
'Charge: Woman used bitcoin, dark web in murder-for-hire case',financial
'Retired cop arrested for on-duty sex assault inside police station',financial
'Chicago sees drop in killings and shootings for 13 consecutive months',financial
'Man charged with shooting girlfriend 11 times',financial
'Social Security online accounts: safe from identity theft?',financial
'Chicago-Based Trader Stole $2M Worth of Crypto to Cover Bad Decisions',financial
'Pulaski County murder suspect caught in Chicago',financial
'Attempted murder charges filed in East Chicago shooting',financial
'Render Much?',financial
'Chicago-area man convicted in sweeping sex trafficking case',financial
'Jury in central Illinois convicts in identity theft case',financial
'38 YO Indian Engineer Who Raised Money For Top Al Qaida Leader, Now Pleads Guilty In US Court',financial
'Ex-bookkeeper for restaurants Blackbird and Avec charged with stealing $600,000',financial
'Chicago-area woman charged with murder in mother’s death',financial
'Chicago-area woman charged with murder in mother’s death',financial
'7-year sentence for Calumet City man in 2015 bank robbery',financial
'Cook County sheriff sues to unmask \'Dan,\' an anonymous person accusing him of domestic abuse',financial
'Mueller deputy Andrew Weissmann has a reputation for hard-charging tactics — and sometimes going too far',financial
'The Judges Cops Want: These Candidates Have Been Endorsed By Chicago’s Police Union',financial
'Bill Clinton\'s #MeToo converts',financial
'Bill enabling prosecutors, victims to pursue websites that host sex traffickers heads to White House - Washington Post',financial
'Senate to MSU: Prevent sexual assaults or risk aid - The Detroit News',financial
'The Assassination of Gianni Versace: American Crime Story recap: \'A Random Killing\'',financial
'Chicago\'s Top Cop Says \"Death Wish\"',financial
'AP PHOTOS: Editor selections from Bill Cosby\'s life',financial
'AP PHOTOS: Editor selections from Bill Cosby\'s life',financial
'Murder charge filed in East Chicago shooting',financial
'The latest insanity of the deranged Left: Alleged child rapist says he \"self-identifies\" as a nine-year-old, so it\'s not really rape',financial
'Richmond Hill explosion mastermind Mark Leonard dies - Indianapolis Star',financial
'Food stamp fraud and opioid epidemic: The other reasons to go to food boxes',financial
'Prominent AAU coach arrested for child porn',financial
'WATCH: Authorities are looking for a woman seen on security footage leaving a baby in an airport restroom',financial
'Man dies after being yanked into MRI machine, police say - AOL',financial
'WATCH: No. 3 in command at the Justice Department will step down soon: Sources',financial
'City\'s lawyers ask mom of teen slain by cop about prostitution, prompting call for sanctions',financial
'AP PHOTOS: Editor selections from Bill Cosby\'s life',financial
'2 sue Chicago cops they say framed them in slayings',financial
'WATCH: University of Chicago releases video of student shot by police',financial
'50 Must-Read True Crime Books',financial
'Is It Safe to Visit London? British Capital Overrun by Violent Crime',financial
'College Tells Black Comedian He Can’t Make Jokes About Race',financial
'Murder and Mayhem in the Midwest, State by State',financial
'Bold Police Commander Killed By Repeat Felon In Downtown Chicago',financial
'Former Florida football player convicted of $20 million Tricare fraud conspiracy',financial
'US Halifax mall plotter admired Columbine, doc reveals',financial
'Opinion: Stop Trump from discriminating against patients on \'moral grounds\' - The Mercury News',financial
'Oxfam sexual abuse scandal points to a larger problem among aid workers',financial
'Woman paid $10K in bitcoin to a ‘dark-web’ company to have her lover\'s wife killed, Ill. cops say',financial
'Is Collusion with Russia Over?',financial
'Trump sees \'carnage\' from America\'s drug boom, but major cities are getting safer',financial
'Higher education roundup',financial
'Surveillance video released in Northwest Side hit-and-run',financial
'Bears cornerback Deiondre’ Hall, Chiefs cornerback Makinton Dorleant get probation for bar fight',financial
'Murder and Mayhem in the Midwest, State by State',financial
'Police searching for suspended Raider Aldon Smith after domestic violence incident - Washington Post',financial
'U.S. woman sentenced to life for Valentine’s day shooting spree plot at Halifax mall',financial
'WATCH: Man returns to baseball job 23 years after being wrongfully imprisoned',financial
'US Halifax mall plotter admired Columbine, doc reveals',financial
'Tom Izzo says Michigan State will \'cooperate with any investigation and always have\' - Washington Post',financial
'tagnews 1.1.0rc1',financial
'Michigan State to fire medical dean in wake of Larry Nassar sexual assault case',financial
'Chicago\'s top cop says \'Death Wish\' release \'exploits\' Paul Bauer\'s murder',financial
'Chicago cop \'sexually assaulted male suspect shackled in a hospital\'',financial
'New witnesses allege sexual misconduct by Tavis Smiley - Chicago Tribune',financial
'Man guilty of sex assault on 2 girls, faces life in prison',financial
'Girl pleads guilty to 2016 stabbing death of 15-year-old',financial
'He Lost his Mother, his Father, and 23 years of his life — all for a Crime he did not Commit',financial
'Could AI Explain The Motivations of a Serial Killer?',financial
'FBI Warns Facebook Users From Circulating Viral Child Porn Video',financial
'Australia\'s biggest bank to enter mediation over laundering claims',financial
'Op-Ed Contributor: How the St. Valentine’s Day Massacre Changed Gun Laws',financial
'Theodore Decker: Children told they\'re worthless is root cause of city\'s violence.',financial
'notebook: Carruth apologizes for murder, wants custody...',financial
'‘American Idol’ Alum Haley Reinhart Found Guilty in Battery Case',financial
'White Sox rehire man who wrongly spent decades in prison',financial
'SNAP: Girlfriend Shot 11 Times During Game Of Dominos...',financial
'The 2016 Chicago Homicide Spike - Further Explained',financial
'US woman sentenced to life for Valentine\'s Day shooting plot in Canada',financial
'35 Vintage Mugshots That Prove They Don’t Make Female Criminals Like They Used To',financial
'Feds: Change-of-address scam moved UPS corporate headquarters to tiny Chicago apartment',financial
'The Latest: Pharmacist in meningitis outbreak gets prison - Washington Post',financial
'How a New Senate Bill Will Screw Over Sex Workers',financial
'Michael Stahl-David talks about \'The Light of the Moon,\' a film about sexual assault',financial
'Jury awards $45M to estate of slain suburban Chicago boy',financial
'Trump sees \'carnage\' from American drug use but major cities actually getting safer',financial
'The day the Apple Watch solved a murder',financial
'City settles lawsuit over shooting by Chicago police officer in midst of trial',financial
'Chicago, Then and Now',financial
'Expedia\'s Orbitz Suspects 880,000 Payment Cards Stolen',financial
'\'House of Cards\' resumes production, Diane Lane and Greg Kinnear join final season',financial
'Senate bill would crack down on online sex trafficking as cases grow across the country',financial
'Geneva woman facing sentencing for murder conspiracy in Canada admired Columbine killers, court records show',financial
'Police investigating \'good leads\' in East Chicago homicide',financial
'Here Are the Notable Guests Attending Donald Trump’s State of the Union Address',financial
'Michael Stahl-David talks about \'The Light of the Moon,\' a film about sexual assault',financial
'Woman charged with ripping off millions Ricky Williams, Dennis Rodman, arrested on new $174,000 theft case',financial
'Murder and Mayhem in Chicago and more of the best things to do this weekend',financial
'Sex-trafficking bill that killed Craigslist\'s Personals is hurting sex workers',financial
'How Obama school discipline guidelines allowed school shooter to buy gun despite troubling past',financial
'Man admits to killing woman with metal pipe, knife as she ‘begged for her life’',financial
'Police: Attack on couple part of son\'s murder-for-hire plot',financial
'David Mamet Says He\'s Writing a Play About Harvey Weinstein - Billboard',financial
'Does This Illinois Town Have the Country\'s Toughest Gun Law?',financial
'Chicago White Sox welcome back groundskeeper who wrongly spent 23 years in prison',financial
'Life in prison for US man who killed Lebanese neighbor',financial
'US gymnastics \'sex abuse doc\' to face more victims in court',financial
'US gymnastics \'sex abuse doctor\' to face more victims in court',financial
'White Sox Rehire Man Who Wrongly Spent Decades in Prison',financial
'Jury in central Illinois convicts in identity theft case',financial
'Safety plan is key to escaping domestic abuse, which can be psychological or emotional',financial
'NYC Dives Into Tough Neighborhoods, Emerges as Safest Big City',financial
'Manafort moves to suppress evidence seized from his home',financial
'This Accused Sex Trafficker Says #MeToo Is Making It Difficult to Get a Fair Trial',financial
'Illinois man jailed for decades found not guilty at retrial',financial
'THE WAR ON DRUGS IS FAR DEADLIER THAN MOST PEOPLE REALIZE',financial
'Cop charged with sexually assaulting suspect at hospital',financial
'Illinois man jailed for decades found not guilty at retrial',financial
'Founder of the secretive self-help group NXIVM charged with sex trafficking - ABC News',financial
'Trump signs bill targeting online sex trafficking - The Mercury News',financial
'Retired Chicago maths teacher charged with child porn shoots himself dead',financial
'UK Police Spend £1.3m on Cybersecurity Training',financial
'Man get prison in Michigan crash that killed fire chief',financial
'Illinois man jailed for decades found not guilty at retrial',financial
'Amber Rose on Ian Connor: ‘He’s Actually Raping Women’',financial
'Convicting A Murderer set to follow Steven Avery story',financial
'Massive raids in California shut down China-based marijuana-slavery syndicate',financial
'Paying off porn star not presidential? How \'bout rape?',financial
'SU Chancellor Syverud on Syracuse frat : \'There are other videos\' in Theta Tau case - Syracuse.com',financial
'Man charged in 2016 Oak Park drive-by shooting',financial
'More guns, less crime? Not according to the data.',financial
'South suburban men charged in chase that injured Indiana officer, police dog',financial
'Pennsylvania Man Charged with Filing Fraudulent Insurance Claims in New Jersey',financial
'Former potentate of the Milwaukee Tripoli Shrine stands trial on embezzlement charges',financial
'City with highest murder rate paying to defend illegals',financial
'Despite crime, Chicago ranked world\'s best city for...',financial
'Missouri governor\'s scandal ensnares unwitting hairdresser',financial
'Man gets 76-year sentence for Chicago officer\'s 2010 killing',financial
'Who Was Lee Miglin? American Crime Story Explores Andrew Cunanan\'s Victims Before Versace - HarpersBAZAAR.com',financial
'The Latest: Michigan State turns over materials to AG',financial
'Kodak Black: A History With The Law',financial
'Banker asked about U.S. Army post before making...',financial
'Cybersecurity Wins: January 2018',financial
'Xerox Engineers Claim Drop in Chicago Crime Rate Due To Unclogged Printers',financial
'This is why we can\'t have nice things',financial
'Man to return to White Sox job after 23 years in prison',financial
'Sexual Harassment Was Rampant At Coachella 2018',financial
' New Users Buying Cryptocurrency via Hvper.com',financial
'Emanuel, Johnson laud drop in violent crime here',financial
' Some things never change via Hvper.com',financial
'Batavia police reports',financial
'Gun used in boy’s 2015 slaying trafficked to Chicago by brother of alleged killer, feds say',financial
'Four Chicago teens charged with trying to break into Naperville house, police say',financial
'2 wrongfully convicted men sue cops they say framed them',financial
'Girl pleads guilty to 2016 stabbing death of 15-year-old',financial
'Chicago, Then and Now',financial
'Man guilty of sex assault on 2 girls, faces life in prison',financial
'Ex-NFL players Shane Matthews, Monty Grow face prison for fraud conspiracy',financial
'Cosby\'s chief accuser says she wants justice for sex assault - Washington Post',financial
'Robberies increase in downtown Chicago, homicides decrease',financial
'US gymnastics coach faces child porn charges',financial
'Man returns to work as baseball groundsman after 23 years in prison',financial
'Man accused of plotting attack hammer attack of parents',financial
'Versace: Why Did Andrew Cunanan Murder Lee Miglin?',financial
'Batavia police reports',financial
'Chicago Can Thank This Well-Known Anti-American Group for Its Sky-High Murder Rate',financial
'US officer charged with murder of unarmed Australian woman',financial
'The Assassination of Gianni Versace: Fact-checking Episode Three, ‘A Random Killing’',financial
'Man get prison in Michigan crash that killed fire chief',financial
'Former MLB All-Star Esteban Loaiza Nabbed In $500,000 Cocaine Bust',financial
'End Rohingya genocide or face prosecution: Nobel peace laureates to Aung San Suu Kyi - The Straits Times',financial
'Man sexually assaulted woman while in Chicago from Michigan for friend\'s birthday, prosecutors say',financial
'5 myths about domestic violence',financial
'Teacher turns in her son for sex trafficking one of her students, Wisconsin cops say',financial
'Man died bail in predatory sexual assault case, said he\'s a boy trapped in a man\'s body',financial
'Cops: Hammer attack on couple was orchestrated by their son',financial
'How #MeToo can change the office romance — for the better',financial
'This Week in Essays',financial
'Mueller: Manafort Committed Bank Fraud With Falsified Mortgage Application',financial
'Real Solutions for Curtailing Gun Violence',financial
'Tot found nearly decapitated in trash bag at home, dad arrested',financial
'Female soccer coach charged with sexually assaulting numerous students',financial
'CNN\'s Camerota Tries to Blame Indiana for Chicago Crime',financial
'Man gets 76-year sentence for Chicago officer\'s 2010 killing',financial
'Battling DUIs with FaceTime justice',financial
'Law Firm Sued For $10 Million Over ‘Menacing’ Behavior',financial
'VIDEO: Arsonist Sparks Fireball On Chicago Subway...',financial
'Man gets 76-year sentence for 2010 murder of police officer',financial
'Police: Minnesota Woman Charged with Felony DUI in Illinois - KSTP',financial
'Train passenger, 28, sets himself and a train on fire',financial
'Former Bengals quarterback sentenced to prison for role in health care fraud',financial
'Maddon encouraged after seeing Cubs SS Russell rebound late',financial
'Maddon encouraged after seeing Cubs SS Russell rebound late',financial
'Slate of RAHM challengers growing — VALLAS starts fund-raising — CHUY’s rise',financial
'Asylum seeker faces verdict for rape, murder of German student',financial
'Man wanted in an Illinois homicide case arrested in Arizona',financial
'Larry Nassar Sentenced To 175 Years In Prison After 150+ Sexual Assault Victims Come Forward',financial
'Missouri governor\'s scandal ensnares unwitting hairdresser',financial
'Missouri governor\'s scandal ensnares unwitting hairdresser',financial
'Charge: Woman used bitcoin, dark web in murder-for-hire case',financial
'Missouri governor\'s scandal ensnares unwitting hairdresser',financial
'Missouri governor\'s scandal ensnares unwitting hairdresser',financial
'Missouri governor\'s scandal ensnares unwitting hairdresser',financial
'“ACLU Effect” — Profs find reduction in Chicago Stop and Frisk led to hundreds of additional killings',financial
'Immigration Attorney Sentenced to More Than Six Years in Prison for Fraud Scheme and Identity Theft in Relation to Visa Applications',financial
'AT&T drops USA Gymnastics as sponsor over Nassar scandal - Chicago Tribune',financial
'White Sox groundskeeper back on job after 23 years in prison',financial
'Wrongly jailed man works White Sox game',financial
'Missouri governor\'s scandal ensnares unwitting hairdresser',financial
'US officer charged with murder of unarmed Australian woman',financial
'US officer charged with murder of unarmed Australian woman',financial
'Chicago-area woman charged with murder in mother\'s death',financial
'Chicago-area woman charged with murder in mother\'s death',financial
'Jury awards $45M to estate of slain suburban Chicago boy',financial
'Jury awards $45M to estate of slain suburban Chicago boy',financial
'How Jewish-American Gangster Mickey Cohen Took Over Los Angeles',financial
'5 facts about crime in the U.S.',financial
'Cops probe \'battery\' allegation at Stan Lee home',financial
'WATCH: Paralympic snowboarder finds success on and off the slopes',financial
'HANNIBAL BURESS AND HIS CATHOLIC FANS',financial
'Man guilty of murdering ex-girlfriend whose body he hid in Thornton field',financial
'Sex, money, spying: The Mueller probe has it all',financial
'\'Police have lost control of the streets\'',financial
'Pulaski County fugitive captured',financial
'Hannibal Buress performance interrupted after priest joke',financial
'Hit-and-Run Driver Killed Cyclist Carlos D. Ocana-Castillo, 21, in West Englewood',financial
'More Cops Means Less Crime, Analysis Shows',financial
'Jury awards $45M to estate of slain suburban Chicago boy',financial
'Maurepas, Gulf Atlantic GTA Map',financial
'Shooting survivors endure new assault from online trolls',financial
'Firefighter injured after battling arson fire',financial
'US officer charged with murder of unarmed Australian woman',financial
'Bill Cosby goes to court to stop accusers from testifying',financial
'“Unsolved: The Murders of Tupac and The Notorious B.I.G.” is Three Shows in One',financial
'Oscars 2018: Kobe Bryant’s win exposes the limits of #TimesUp NBA great wins an Academy Award for best animated short film',financial
'Notes on a Gun-Control Dust-up between Ted Cruz and Chris Cuomo',financial
'Police: Attack on couple part of son\'s murder-for-hire plot',financial
'Incidents of sexual harassment, assault high at music festivals, new survey reveals',financial
'Reps. Rush, Davis to skip Trump\'s State of the Union address',financial
'Landlord let man rent a room in her apartment. But he was a ‘predator,’ Ill. mother says',financial
'Jesuit University Cuts Off Hannibal Buress Mid-Set',financial
'Weekend picks for book lovers, including David Mamet\'s \'Chicago\'',financial
'Girl pleads guilty to fatally stabbing 15-year-old in 2016',financial
'West suburban woman gets life sentence for plotting to shoot up Canadian shopping mall',financial
'Sex offender wins reprieve from West St. Paul residency restrictions',financial
'Senate bill would crack down on online sex trafficking as cases grow across the country',financial
'Former Chicago officer held in wife\'s alleged murder charged with shoving jail guard',financial
'Hannibal Buress’ mic cut during show after sexual abuse joke',financial
'Driver Charged In A Crash That Killed 4, Including MSSU Student',financial
'Flash-crash trader helps US in fight against market abuse',financial
'Weekend picks for book lovers, including David Mamet\'s \'Chicago\'',financial
'What’s Fact and What’s Fiction in The Assassination of Gianni Versace’s Brutal Third Episode',financial
'Trump signs \'FOSTA\' bill targeting online sex trafficking, enables states and victims to pursue websites - Washington Post',financial
'‘Death Wish’ Review: If the NRA Made a Feature Film, It Would Be This',financial
'Critics’ Choice Sale: Save up to 40\% on Acclaimed Titles',financial
'Crime Watch Daily looks into NFL star\'s girlfriend\'s death',financial
'Man, 50, fatally stabbed in West Ridge',financial
'Chicago cop from fatal shooting caught on video in off-duty bar fight',financial
'DNA obtained from suspects in slaying of ECU football player outside Bahama Breeze',financial
'Stan Lee Accused of Sexual Misconduct by Massage Therapist',financial
'ESPN prevails as Michigan State\'s delaying tactics on sexual assault records failed',financial
'Shooting survivors endure new assault — from online trolls',financial
'Shia LaBeouf Sleeps With a Gun, Suffers From PTSD, and Admits His 2017 Arrest Was the Result of ‘White Privilege’',financial
'A Massage Therapist Is Suing Stan Lee for Sexual Misconduct',financial
'Women’s group calls on gaming board to ‘do the right thing’',financial
'Man charged in River North stabbing death of software CEO',financial
'Dennis Rodman Avoids Jail Time by Pleading Guilty to DUI',financial
'Celina Montoya Photos: Full Story & Must-See Details',financial
'Suspect in Chicago police death charged with murder',financial
'Colorado deputy, suspect killed, four others wounded',financial
'BRILLIANT | Black Conservative Candace Owens Drops The HAMMER On Black Lives Matter Protesters',financial
'US Halifax mall plotter admired Columbine, doc reveals',financial
'Final Four puts transfers, and need for reform, in display',financial
'Final Four puts transfers, and need for reform, in display',financial
'Charles Oakley Assault Case Stemming from 2017 James Dolan Altercation Dismissed',financial
'Final Four puts transfers, and need for reform, in display',financial
'2018 Must be the Year of Dealing with Voter and Election Fraud or the Democrats Will take Back Congress',financial
'Police: Attack on couple part of son’s murder-for-hire plot',financial
'US Halifax mall plotter admired Columbine, doc reveals',financial
'Chiraq sees drop in shootings and killings for 13 consecutive months',financial
'Woman breaks her silence 30 years after she says she was raped in secret room by Mormon Church officials - ABC News',financial
'Man shot by hit-and-run suspect among 3 injured in city shootings',financial
'Prosecutors say Chicago gets 1st cryptocurrency case',financial
'US Halifax mall plotter admired Columbine, doc reveals',financial
'After Gary Oldman\'s Oscar win, people are bringing up his assault allegation',financial
'Colorado deputy, suspect killed, four others wounded',financial
'Man wanted in an Illinois homicide case arrested in Arizona',financial
'Video: First Look Trailer and Key Art for Season Two of CBS All Access\' \"The Good Fight\"',financial
'Little Village man charged with murder after police say he nearly decapitated toddler',financial
'Suspect in fatal police shooting ID’d; Charges expected this afternoon',financial
'‘Serial stowaway’ arrested at Chicago airport days after flying ticketless to London',financial
'White Sox worker jailed for 23 years over crime he didn’t commit. Now he has the job he loves back.',financial
'“My heart dropped:” Accused cop killer’s previous victim',financial
'Father arrested for nearly decapitating his toddler son',financial
'Male sex assault victims feel left behind by #MeToo...',financial
'Man gets 76-year sentence for Chicago officer\'s 2010 killing',financial
'American Crime Story: The Grizzly Details of Jeff Trail\'s Murder',financial
'Prominent Iowa AAU coach arrested on child porn charge',financial
'Why \'Versace\' Shifted Its Narrative Away From the Fashion Designer',financial
'Man gets 76-year sentence for Chicago officer\'s 2010 killing',financial
'Man arrested in death of teen girl found in ditch',financial
'American Crime Story: A Timeline of Andrew Cunanan\'s Murder Spree',financial
'Watch: Chicago Transit Authority Passenger Sets Fire Aboard Red Line Train',financial
'The 2016 Chicago Homicide Spike - Explained',financial
'Cision Ltd. Announces Commencement of Exchange Offer and Consent Solicitation Relating to its Warrants',financial
'Anne Heche Says Harvey Weinstein Sexually Harassed Her, Too',financial
'Cosby\'s Star Witness Claims Accuser Spoke of Framing Famed Comic - Hollywood Reporter',financial
'Janice Dickinson Took The Stand In The Bill Cosby Trial, And Said She Wanted To Punch Him',financial
'His parents didn’t want him to be a blacksmith — so he paid a hammer-wielding hit man, Illinois cops say',financial
'US gymnastics coach facing criminal probe',financial
'‘Baltimore Is The Nation’s Most Dangerous City’',financial
'One of the \'worst DUI offenders in the country\' arrested again, police say - kfor.com',financial
'Missouri governor\'s scandal ensnares unwitting hairdresser',financial
'WATCH: Woman suing Mormon church details alleged rape',financial
'Hannibal Buress makes offensive joke on Chicago stage, they cut off his mic',financial
'Missouri governor\'s scandal ensnares unwitting hairdresser',financial
'Weekend picks for book lovers, including David Mamet\'s \'Chicago\'',financial
'Barack the Brick-Thrower',financial
'Why The IRS Fears Bitcoin',financial
'\'Serial stowaway\' arrested at Chicago airport — yet again',financial
'Man sentenced to 76 years in prison in 2010 killing of officer',financial
'The other massacre on Valentine\'s Day that changed gun laws',financial
'Banker asked about U.S. Army post before making Manafort loan - lawmakers',financial
'13 Other True Crime Cases American Crime Story Should Tackle',financial
'Suspect sets train on fire during dramatic arrest',financial
'Police in London are using stop and search powers LESS',financial
'Mobster pleads guilty after recordings of threats',financial
'This Teenager Accused Two On-Duty Cops Of Rape. She Had No Idea The Law Might Protect Them.',financial
'Banker asked about U.S. Army post before making Manafort loan: lawmakers',financial
'Teenage boy, 17, is charged with murder after 18-year-old student',financial
'Today’s Headlines for Monday, February 19',financial
'Shootings and homicides decrease as carjackings surge, and other Chicago news',financial
'CTA releases video of man setting fire inside Red Line train',financial
'David Mamet goes gangbusters in riveting Prohibition-era novel \'Chicago\'',financial
'Manafort\'s LA bankruptcy fight may offer new avenue for Mueller probe',financial
'Police Officer Sexually Assaulted Suicidal Man At Hospital',financial
'Chicago cop who killed 2 seen on video in off-duty bar fight',financial
'Prosecutors say Chicago gets 1st cryptocurrency case',financial
'Paul Manafort’s LA bankruptcy fight may offer new avenue for Mueller probe',financial
'Felon accused of killing Police Cmdr. Paul Bauer held without bond - Chicago Sun-Times',financial
'The Assassination of Gianni Versace: American Crime Story recap: \'The House by the Lake\'',financial
'Rob Porter’s Ex-Wife Says He Asked Her to ‘Downplay’ Domestic Abuse Accusations',financial
'Illinois governor grants 6 petitions for clemency denies 14',financial
'How Catholic church shielded priest from murder charges',financial
'Man wrongfully convicted in fatal arson files lawsuit alleging Chicago police coerced his confession',financial
'Top White House Aide Rob Porter Resigns After Domestic Abuse Accusations',financial
'CTA releases video of passenger who set fire aboard Red Line train Argyle station',financial
'Stan Lee sued for sexual misconduct by massage therapist',financial
'Chicago mayor wants new law to thwart carjackings',financial
'The Latest: Michigan State turns over materials to AG',financial
'Elderly man faces federal charge in Tucson bank robbery',financial
'Shooting survivors endure new assault _ from online trolls',financial
'Shooting survivors endure new assault _ from online trolls',financial
'Chicago car wash operators charged with defrauding city in minority business pass-through scheme',financial
'Man sues over arson conviction after 24 years behind bars',financial
'McClellan: Old friends fall on hard times',financial
'Elderly man faces federal charge in Tucson bank robbery',financial
'Where are Marilyn Miglin and Duke now? Lee Miglin\'s family 20 years after his murder',financial
'Coyotes\' Panik arrested on trespass charge',financial
'Michigan State to fire medical dean over Nassar scandal',financial
'26 Famous Gangsters From The Height Of The Public Enemy Era',financial
'Girlfriend accused of faking pregnancy to scam Fremont man and his mom out of $279,000',financial
'Emails: Chicago GOPer, Via DOJ Official, Sought Voter Fraud Probe By Trump Panel',financial
'24-year-old Chicago trader charged in city\'s first bitcoin fraud case',financial
'US Halifax mall plotter admired Columbine, doc reveals',financial
'See the St. Valentine’s Day Massacre of 1929—in Color',financial
'Bench trial for Chicago cop, 2 ex-cops in McDonald case',financial
'Baltimore’s Failed Surveillance Regime',financial
'The scientist who leaked Russia\'s Novichok \'conspiracy\'',financial
'Shooting survivors endure new assault _ from online trolls',financial
'Shooting survivors endure new assault _ from online trolls',financial
'Shooting survivors endure new assault _ from online trolls',financial
'‘American Idol’ Alum Haley Reinhart Found Guilty in Battery Case',financial
'Woman, 23, accused of removing evidence in homicide case',financial
'All-women hacking competition aims to be world\'s largest - Reading Eagle',financial
'Chicago man accused of murdering wife and abducting kids denied bail',financial
'Editorial: Victims Get a Voice in Chicago Police Reform',financial
'Lee Miglin: 5 Things To Know About Andrew Cunanan’s Third Victim',financial
'Cop sucked suicidal man\'s toes and sexually assaulted him at hospital, Chicago police say',financial
'Radical Islamic Scholar Hillary Let Back into U.S. as Sec. of State Jailed for Rape',financial
'Illinois governor grants 6 petitions for clemency denies 14',financial
'Illinois governor grants 6 petitions for clemency denies 14',financial
'Analyzing Judith Light\'s Amazing Performance in \'The Assassination of Gianni Versace\'',financial
'Cop sucked suicidal man\'s toes and sexually assaulted him at hospital, Chicago police say',financial
'Paige VanZant opens up for the first time about being raped in new book',financial
'2 wrongfully convicted immigrants face uncertain future',financial
'CTA Passenger Trying To Set Himself On Fire',financial
'2 wrongfully convicted immigrants face uncertain future',financial
'2 wrongfully convicted immigrants face uncertain future',financial
'Shooting survivors endure new assault — from online trolls',financial
'Judge solicits campaign donations at council meeting in apparent conduct violation; claims it was just a joke',financial
'The \'crazy fat lady\' reports on crime from the Texas border. Cops say she\'s gone too far, and now she\'s facing charges',financial
'Prufrock: The Death of a Bohemian Utopia, Harper Lee\'s Confusing Will, and Britain\'s Most Popular Poet',financial
'Trump signs bill targeting online sex trafficking, allowing websites to be targeted',financial
'Town Near Chicago Votes to Ban Assault Weapons, High-Capacity Magazines - Fox News Insider',financial
'Harvey Weinstein \'Casting Couch\' statue debuts pre-Oscars - WTSP 10 News',financial
'Dating partners commit more domestic abuse than spouses',financial
'Man get prison in Michigan crash that killed fire chief',financial
'The Right To Keep And Bear Arms',financial
'When a crime wave hits home in Chicago',financial
'US Judge dismisses torture by Semar of \"El Chuy Raul\", bodyguard of \"El Alfredillo\"',financial
'Streamwood man charged with felony murder in carjacking death',financial
'Activists plan R. Kelly protest at Detroit\'s Little Caesars Arena: \'Black girls do matter\'',financial
'Stan Lee sued for sexual misconduct by massage therapist',financial
'Backpage Loses Another Section 230 Motion (Again Without SESTA/FOSTA)–Florida Abolitionists v. Backpage',financial
'Finding the right ways to fight Chicago\'s carjacking surge',financial
'Man confesses he sold murdered teen into Chicago sex trade for $250',financial
'48 Hours Tips Illinois Police to Alleged Murder Plot',financial
